ProfessorName,Number5s,Number4s,Number3s,Number2s,Number1s
"Muirhead, S",0,5,4,3,0
"Wilson, C",9,8,3,1,0
"Fisher, J",4,1,1,6,1
"Hitchon, J",7,11,2,2,0
"Raquel, S",14,5,1,0,2
"Vance, A",7,9,4,1,1
"Sheldon, P",4,6,2,3,1
"Wang, Y",1,2,3,5,3
"Kasdan, T",14,1,3,5,2
"Peacock, M",10,7,4,3,1
"Lee, D",1,11,1,0,0
"Kim, W",0,2,3,1,0
"Maslowska, E",6,5,5,5,2
"Wise, K",0,6,3,0,1
"Laystrom-Woodar, J",1,8,4,2,3
"Wroblewski, G",6,8,2,4,1
"Saxton-Fox, T",12,12,6,2,2
"Panerai, F",7,8,2,3,0
"Khanbolouki, P",7,3,5,1,3
"Lambros, J",13,2,3,0,0
"Langbort, C",11,4,1,2,2
"Bretl, T",9,12,4,5,0
"Goza, A",11,2,5,2,0
"Levin Fliflet, D",8,3,6,6,3
"Rovey, J",13,10,2,5,3
"Merret, J",13,12,4,4,3
"Lembeck, M",14,8,6,0,1
"Chasiotis, I",2,4,3,3,2
"Eggl, S",14,10,5,2,1
"Ornik, M",4,12,5,5,2
"Ansell, P",12,3,2,4,2
"Bailey, R",11,3,6,6,0
"Lawton, B",3,1,2,5,2
"Meyers, J",10,9,3,3,0
"O'Byrn, E",2,5,6,2,3
"Roberts, O",0,10,6,3,1
"Maldonado, K",5,7,3,1,1
"Pyle, K",3,5,6,1,1
"Rosch, D",13,4,1,6,1
"Harsh, B",5,2,2,6,2
"Dilger, A",4,3,2,6,2
"Parsons, C",3,3,5,3,1
"Fischer-Brown, A",9,3,3,5,1
"Dilger, R",5,8,5,4,1
"Miller, D",7,8,5,3,0
"Richardson, S",1,1,1,2,2
"Shike, D",1,8,4,5,2
"Hagstrom, D",6,4,5,0,3
"Jones-Hamlow, K",5,5,5,4,3
"Kukekova, A",1,6,6,4,3
"Roca, A",13,8,5,5,3
"Drackley, J",14,5,4,6,0
"Steelman, A",1,9,6,2,0
"Antonson, A",9,8,6,5,2
"Schneider, A",1,6,3,0,1
"Cattai de Godoy, M",13,6,3,6,0
"Rusen, R",1,13,5,4,1
"Naidoo, N",9,7,1,4,1
"Taylor, R",12,10,6,4,3
"Reich, A",4,9,6,2,2
"Erten, H",10,1,3,4,3
"Bishop, K",8,11,1,3,3
"Silverman, H",5,2,6,0,0
"Riggs, E",13,11,4,6,3
"Jelinek, P",4,7,5,6,3
"Hughes, C",7,11,1,2,1
"Dominguez, V",11,7,5,1,3
"Lucero, L",7,5,6,5,1
"Kastengren, S",8,1,6,4,3
"Greenberg, J",11,9,3,1,0
"Frankenberg, S",3,2,1,0,2
"Clark, J",3,13,6,1,1
"Uihlein, M",2,1,4,4,0
"Melgarejo De Be, A",14,12,4,5,1
"Leslie, T",9,11,2,5,1
"Lapunzina, A",6,4,1,3,2
"Johnson, T",13,11,6,5,2
"Inserra, D",4,5,6,2,1
"Bross, B",9,4,1,6,2
"Boubekri, M",13,8,5,1,2
"Deutsch, R",5,6,5,0,0
"Aminmansour, A",6,6,2,1,1
"Pawlikowski, J",2,5,5,4,3
"Salamanca Garci, J",11,11,1,2,0
"Wehmeier, C",6,13,2,5,1
"Sethi, S",2,11,4,1,3
"Raheel, S",0,11,1,3,2
"Araujo de Aguia, C",5,6,4,6,3
"Sethi, S",13,3,6,3,3
"Lucero, J",10,2,5,6,3
"Weissman, T",14,11,6,5,1
"Romberg, K",1,6,6,6,1
"Stirek, L",9,9,6,5,1
"Sinzato, A",6,1,6,6,3
"Francis, O",8,9,4,2,2
"Palmieri, C",14,11,5,5,1
"Becker, S",6,13,6,5,0
"Pokorny, M",12,4,2,4,1
"Hogin, L",3,13,1,0,2
"Icaza, E",10,12,1,4,3
"Liu, P",8,8,2,5,3
"Wei, W",6,6,1,6,3
"Cardinal, T",0,12,5,2,1
"Winans, A",4,4,1,2,3
"Dunne, B",8,7,6,1,0
"Kemball, A",11,3,1,0,1
"Ricker, P",2,1,2,2,1
"Gammie, C",5,5,5,5,1
"Shen, Y",0,9,2,3,3
"Frame, J",12,12,3,4,0
"Choate, J",5,2,6,3,3
"Hence, D",0,4,5,3,3
"Rauber, R",2,4,6,3,3
"Lasher-Trapp, S",9,8,5,2,3
"Jain, A",7,8,4,6,1
"Pant, S",1,12,6,3,0
"Ahsen, M",2,10,2,3,2
"Liu, Z",13,10,4,1,1
"Moshref Javadi, M",6,11,1,6,1
"Virudachalam, V",1,9,1,6,3
"Bao, Y",2,11,5,5,0
"Khandelwal, A",13,8,3,1,2
"Kirci, I",4,7,5,3,2
"Kwon, H",12,13,6,5,3
"Liang, H",6,11,1,1,3
"Han, R",14,1,2,6,1
"Baddam, S",3,8,3,6,3
"Warnick, E",6,4,3,3,2
"Winter, G",1,6,2,4,3
"White, J",8,11,3,1,1
"Ward, S",2,2,4,4,2
"Kraatz, M",6,9,1,6,1
"Bruegger, T",8,3,1,4,3
"Ryu, J",9,13,5,5,3
"Ocasio, W",12,11,4,5,1
"Swenddal, H",2,13,4,4,3
"Wolters, M",2,12,5,4,3
"Kim, M",14,2,2,5,0
"White, T",14,13,3,0,2
"Cockrell, A",3,4,3,5,0
"Noel, H",8,8,6,2,3
"Scott, N",10,12,5,2,0
"Clougherty, J",13,7,6,1,1
"Takeda, Y",10,4,4,6,2
"Barbeau, A",6,7,2,6,2
"Noonan, J",5,8,5,3,1
"Kourpas, E",6,5,3,6,1
"Ghoshal, A",6,2,4,5,2
"Sumkin, D",12,4,3,1,0
"Garimella, A",3,3,2,1,2
"Haran, V",0,3,4,4,2
"Pant, G",1,3,4,6,3
"Kim, J",11,9,5,5,3
"Anand, G",11,2,3,4,3
"Feng, Y",12,8,5,5,2
"Ma, H",7,3,5,6,1
"Chin, S",12,7,1,3,2
"Wright, M",1,12,3,3,1
"Rindfleisch, A",13,9,4,2,3
"Kurtz, J",13,13,3,4,2
"Kim, M",5,6,3,6,3
"Inoue, C",13,4,1,5,0
"DeBerge, T",9,12,5,6,3
"Shah, S",10,6,5,1,2
"Nelson, M",14,7,5,0,3
"Loyd, D",9,13,6,3,3
"Bednar, M",11,1,6,1,2
"Roach, M",1,12,1,6,0
"Somaya, D",10,10,3,1,3
"Corredor Waldro, S",1,4,1,6,1
"Sachdev, V",13,11,5,4,2
"Seshadri, S",1,10,5,5,3
"Taghaboni-Dutta, F",14,10,5,0,0
"Bucheli, M",1,11,6,2,3
"Euh, H",0,13,3,1,0
"Torelli, C",14,6,2,0,1
"Sackley, K",7,11,1,1,2
"Willits, J",4,8,4,1,3
"Carrasco Kind, M",12,3,6,5,2
"Brunner, R",10,7,6,4,2
"Zhang, K",6,6,2,1,2
"Buntrock, D",3,12,6,0,1
"Best-Popescu, C",1,2,6,2,1
"Perez Pinera, P",11,7,4,4,2
"Abraham, I",4,11,6,1,3
"Insana, M",4,8,4,6,0
"Maslov, S",7,12,6,5,0
"Irudayaraj, J",11,12,6,6,1
"Monroy, G",12,4,5,6,2
"Golecki, H",11,1,4,1,3
"Nie, S",1,13,5,3,0
"Underhill, G",6,7,6,3,2
"Amos, J",9,9,5,6,1
"Moss, A",9,13,2,5,3
"Canipe, J",7,6,4,6,1
"Roche, D",10,1,5,5,2
"Hapke, G",14,10,1,0,1
"Short, C",6,4,4,0,0
"Selznick, H",0,10,5,6,1
"McGuire, L",7,5,1,6,1
"Burstein, A",13,3,1,0,3
"Thompson, J",0,3,2,3,2
"Gilmore, S",7,7,5,3,1
"Newton, K",4,12,5,1,1
"McVicker, Z",10,9,3,2,3
"Thoss, C",9,2,4,1,1
"Luckman, E",6,11,2,1,2
"Kim, H",3,3,3,2,0
"Ji, M",6,1,2,4,1
"Girndt-Clougher, T",0,12,4,6,3
"Keating, K",14,7,4,3,2
"Martinez, C",11,3,1,3,0
"Kontou, E",12,6,3,4,1
"Tessum, C",2,9,1,5,2
"Popovics, J",1,1,6,2,0
"Lehe, L",9,9,2,4,3
"Nguyen, T",12,7,2,5,2
"Ghadiri, M",0,10,2,4,2
"Cha, E",6,11,2,0,1
"Baser, T",3,12,6,0,2
"Edwards, J",8,4,3,5,0
"Talebpour, A",9,13,3,5,0
"Ignacio, E",5,3,4,5,1
"Stillwell, A",0,7,2,4,3
"Lombardo, F",12,5,2,5,1
"Henschen, J",4,9,2,6,0
"Fahnestock, L",6,12,1,4,3
"Sychterz, A",7,5,4,4,1
"Zhang, X",6,7,2,1,3
"El-Gohary, N",1,5,2,6,1
"Lopez-Pamies, O",13,12,4,3,2
"Zhao, L",4,10,6,0,0
"Rogers, S",7,3,1,3,2
"Hammack, W",1,11,2,6,3
"Peters, B",12,11,5,2,1
"Harley, B",7,8,4,1,2
"Guironnet, D",11,5,4,5,1
"Flaherty, D",3,5,6,1,3
"Monye, U",13,7,5,5,1
"Mullen, R",6,9,4,6,0
"Sing, C",1,7,3,5,1
"Yang, H",10,2,5,3,1
"Kraft, M",11,13,3,1,2
"Kong, H",12,5,2,6,0
"Higdon, J",7,2,3,4,2
"Zhao, S",4,10,1,1,2
"McCarren, E",6,6,2,1,1
"Hummel, T",9,13,5,2,0
"Gunasekera, M",5,11,3,0,1
"Marville, K",14,11,1,1,3
"Huang, T",11,8,6,6,3
"Leveritt, J",2,12,2,6,1
"Andino Martinez, J",6,13,3,6,1
"Ray, C",10,3,2,1,3
"Tasneem, J",10,13,5,4,2
"Decoste, D",4,12,6,1,3
"Axelson, J",1,9,1,0,2
"Formigao Gameir, A",3,10,2,1,2
"Mehta, A",11,1,2,0,0
"Olshansky, L",10,9,3,6,1
"Leckband, D",7,9,6,0,0
"Koerner, M",3,3,1,3,1
"Gewirth, A",12,1,4,0,1
"Chan, J",1,8,5,3,0
"Gruebele, M",14,11,1,2,1
"Jackson, N",9,2,5,0,1
"Mitchell, D",14,2,2,5,2
"Shen, M",13,11,5,4,2
"Denmark, S",6,13,1,1,1
"Fuqua, S",9,5,1,5,1
"Trask, J",5,10,4,2,2
"Hoopsick, R",7,3,2,5,0
"Woodson, M",12,8,1,1,3
"Heintz, H",10,3,4,1,3
"Peterson, N",10,11,1,6,1
"Kraay, A",5,6,6,3,3
"Hale, T",1,3,3,2,3
"Grabert, R",10,2,5,2,0
"Cole, S",1,11,4,2,1
"Greenwalt, N",13,8,3,4,2
"Bazan, C",8,13,4,2,2
"Chiu, C",13,11,5,1,3
"Raj, M",1,3,1,3,1
"Freehill, A",4,10,3,0,0
"Geiger, S",2,2,1,2,0
"Frasca, E",7,6,2,0,1
"DiFilippo, K",12,12,5,6,2
"Clarke, C",10,6,4,6,0
"Choi, S",10,7,1,4,1
"Bensken, J",7,8,3,1,3
"Pearson, S",3,13,2,3,3
"Selzer Ninomiya, A",9,6,4,3,1
"Kang, H",5,5,4,1,3
"Mejia, S",6,1,5,3,0
"Mamaril, C",1,8,3,1,2
"Barnes, L",14,8,4,2,2
"Musser, A",14,4,3,1,1
"Fitzjarrald, A",0,3,2,4,3
"Kang, J",11,8,5,1,2
"Moton, T",6,12,1,0,3
"Poetzel, A",4,5,1,5,0
"Hale, J",1,13,6,5,2
"Gutzmer, C",10,3,1,5,3
"Masters, A",11,3,4,3,2
"Gonzalez, M",10,11,1,4,1
"Yang, H",11,4,1,2,0
"Altshuler, M",4,1,2,3,0
"Lindgren, R",7,11,6,5,3
"Taylor, A",9,5,5,3,2
"Tanner, M",10,8,6,6,1
"McMillian, R",2,3,5,0,1
"Lewis, A",8,5,3,3,1
"Talafian, H",6,8,5,1,1
"Leonardi, N",11,9,5,0,3
"Bridges, M",8,7,6,2,3
"MacGregor, N",0,6,6,0,0
"Zhang, J",4,9,3,2,2
"Paquette, L",11,3,6,2,1
"Durst, S",8,4,3,6,3
"Jennings, E",12,6,5,3,2
"Warnement, S",14,10,1,4,0
"Solomon, J",0,7,3,0,1
"Martinez, J",11,1,4,3,1
"Mylli, E",2,6,3,1,1
"Sotiroudis, P",14,13,3,1,3
"Fenton, V",10,10,2,2,0
"Reymann, E",5,1,5,5,1
"Vandervelde, A",1,9,5,2,2
"Bevis, E",0,7,2,1,3
"Oliveira, M",13,3,5,5,2
"McQueen, K",2,13,2,0,1
"Hay, B",13,5,4,2,2
"Knierim, M",5,6,3,5,1
"Kaufman, B",10,13,3,5,0
"McGowan, K",4,3,2,6,0
"Livingston, N",4,3,1,2,1
"Gerlikovski, E",0,11,4,4,1
"Balester, N",11,6,2,3,0
"Tchamdjoci, M",2,2,6,6,0
"Persad-Maharaj, T",9,12,5,3,3
"Booth, M",5,12,3,4,1
"Brewster, J",2,3,1,0,1
"Rodriguez, M",1,7,6,2,3
"Cox, D",5,2,6,0,1
"Salas, M",12,6,5,4,1
"Niemeyer, F",4,5,2,2,1
"Alberti, G",5,7,5,4,1
"Gailey, B",1,13,3,4,1
"Stewart, N",13,4,1,5,1
"Gallo, F",14,2,1,1,0
"Yan, J",1,6,5,6,3
"Bishop, M",1,3,4,1,2
"St John, J",3,4,1,1,3
"Knight, A",6,8,3,6,1
"Quick, B",7,1,2,3,0
"Freeman, J",6,3,4,0,1
"Sanders, J",9,6,4,6,3
"Mai, S",0,7,2,1,0
"O'Gorman, T",1,13,2,0,1
"Cunningham, L",8,6,2,4,1
"Okegbe, S",2,11,4,2,0
"Wright-Dixon, T",7,12,3,5,1
"Klajbor-Smith, M",0,4,2,3,3
"Kelpinski, L",8,4,6,2,0
"Farnworth, M",2,12,4,5,2
"Eberline, A",7,4,1,1,3
"Koven, M",2,12,3,4,1
"Khanam, S",0,4,1,4,3
"Cisneros, J",10,8,5,0,1
"Hartman, D",5,8,6,5,3
"Pool, K",9,5,5,5,0
"Coles, S",5,13,6,4,2
"Murphy, J",5,9,2,2,1
"Jacobs, C",1,13,1,2,0
"Tolbert, A",0,9,1,6,2
"Morrow, E",11,8,4,2,1
"Schneider, A",6,6,4,2,1
"Ramey, M",13,8,6,3,3
"Fields, V",9,8,6,5,2
"Tscholl, G",1,13,6,3,3
"Bigsby, E",4,10,3,2,3
"Harris, J",10,1,1,0,2
"Finnegan, C",11,10,6,0,3
"Melendez, T",14,6,1,3,1
"Thompson, C",11,11,1,5,0
"Rayburn, A",5,8,3,6,1
"Bohn, M",8,7,5,2,0
"Margenot, A",12,12,5,1,0
"Riggins, C",12,7,6,3,1
"Schroeder, N",9,12,6,3,3
"Martin, N",10,9,1,2,1
"Villamil, M",13,12,2,2,1
"Lee, D",9,3,6,4,1
"Lipka, A",11,13,1,5,1
"Tahboub, R",0,2,2,0,0
"Lewis, C",6,8,1,5,0
"Challen, G",9,13,5,4,0
"Nowak, M",5,5,1,6,3
"Cosman, B",9,2,4,4,2
"Delgosha, P",12,7,6,1,1
"Cunningham, R",10,3,4,2,2
"Woodley, M",12,7,6,0,3
"Evans, G",0,2,1,0,0
"Herman, G",13,4,3,6,3
"Solomon, B",12,12,6,0,2
"Fagen-Ulmschnei, W",14,7,6,1,3
"Angrave, L",11,5,4,0,3
"Silva, M",2,4,1,6,2
"Liu, H",5,12,1,1,0
"Chekuri, C",3,10,6,5,3
"Kani, N",8,8,3,2,0
"Williams, T",7,2,3,0,1
"Gertner, Y",6,1,4,5,0
"Chang, K",6,9,3,5,3
"Alawini, A",13,9,5,5,0
"Han, J",10,10,3,4,3
"Tong, H",4,9,5,5,2
"Shaffer, E",7,12,1,0,3
"Tychonievich, L",4,9,1,1,2
"Kanakagiri, R",5,11,2,0,2
"Gunter, E",11,8,2,6,3
"Mittal, R",2,8,3,6,2
"Sha, L",8,12,1,5,0
"Fletcher, C",7,2,5,0,0
"Caesar, M",7,7,1,4,2
"Vasisht, D",4,6,3,6,2
"Hasegawa-Johnso, M",13,5,4,1,2
"Morales Aguirre, M",14,5,1,1,1
"Hoiem, D",14,1,2,4,1
"Jiang, N",13,13,6,0,3
"Lazebnik, S",4,3,1,4,1
"Wang, Y",10,13,6,5,2
"Telgarsky, M",5,9,2,3,2
"Hockenmaier, J",8,9,2,4,3
"Smaragdis, P",6,10,4,4,2
"Solomonik, E",2,11,4,1,0
"Levchenko, K",0,7,1,6,3
"Wang, G",9,5,1,3,1
"Cobb, C",2,4,1,5,3
"Sundaram, H",9,9,2,2,0
"Chan, T",6,3,2,0,1
"Singh, G",3,13,2,0,3
"Farivar, R",14,9,6,1,0
"Wang, S",7,13,1,6,0
"Cunningham, K",0,10,1,6,0
"Zhai, C",11,11,5,3,1
"Xu, T",4,11,6,5,1
"Gupta, I",13,11,1,3,3
"Zhang, L",13,11,3,6,3
"Godfrey, P",8,3,1,6,3
"Bailey, B",5,5,3,4,3
"Kumar, R",9,8,3,6,0
"Sun, J",3,7,1,0,2
"Zhao, H",14,2,3,4,1
"Jabbarvand Behr, R",2,13,4,5,1
"Sanders, T",8,11,2,5,0
"Price, J",10,10,2,0,2
"Bales, A",5,12,4,3,0
"Mehta, R",11,9,2,2,2
"Barnard, J",13,5,3,0,3
"Gilmore, A",4,9,5,0,0
"Tecza, A",2,11,5,1,1
"Rogovoy, A",1,3,6,3,1
"Lim, S",14,11,1,5,0
"Chin, A",10,3,3,4,0
"Henss, J",10,7,3,0,3
"Marini, N",3,4,4,3,0
"Bowie, J",9,4,5,5,2
"Persiani, G",4,11,1,6,0
"Neuburger, L",5,7,6,2,2
"Song, M",0,6,2,5,3
"Gilbert, M",4,12,1,4,0
"Schuh, J",2,10,3,2,3
"Choi, H",2,10,3,6,0
"Shao, Y",12,7,5,3,3
"Bhowmik, U",7,10,1,5,3
"Dong, R",3,9,3,6,3
"Aggarwal, A",8,1,2,2,1
"Ravaioli, U",6,4,3,1,0
"Radhakrishnan, C",3,11,1,3,3
"Alvarez, J",0,7,5,6,1
"Mironenko, O",14,11,5,1,2
"Chen, X",5,5,6,5,2
"Schmitz, C",10,13,2,4,2
"Chen, Y",11,10,3,3,2
"Hu, Y",6,11,6,5,3
"Liang, Z",14,12,3,0,3
"Moon, T",13,6,5,6,0
"Snyder, C",4,12,5,4,2
"Okubo, R",5,8,2,0,0
"Shomorony, I",10,10,5,6,3
"Do, M",14,3,4,4,2
"Hajek, B",3,11,6,6,2
"Goddard, L",13,1,1,5,3
"Zhang, R",8,9,3,2,2
"Dallesasse, J",12,1,4,4,0
"Bogdanov, S",8,9,3,2,1
"Cheng, Z",11,3,5,0,0
"Borisov, N",4,2,1,4,2
"Smith, C",2,7,1,0,2
"Kindratenko, V",4,10,6,2,3
"Kim, N",10,6,2,4,0
"Cunningham, B",1,12,5,4,0
"Moulin, P",6,1,3,3,3
"Haran, K",4,11,4,0,1
"Roy Choudhury, R",11,4,2,1,1
"Froeter, P",9,10,2,4,1
"Sievers, D",8,8,3,4,2
"Gruev, V",12,10,4,4,2
"Schutt-Aine, J",0,2,4,2,1
"Driggs-Campbell, K",8,13,1,6,1
"Chen, D",11,4,2,2,2
"Hanumolu, P",1,7,4,5,3
"Dominguez-Garci, A",10,5,3,1,0
"Veeravalli, V",13,3,4,4,2
"Banerjee, A",2,13,2,0,2
"Lumetta, S",0,10,3,3,1
"Salapaka, S",11,2,1,6,1
"Huang, J",0,11,2,2,2
"Ren, L",9,12,6,4,0
"Katselis, D",5,12,3,4,3
"Jin, J",7,8,1,2,2
"Gupta, S",2,6,5,6,3
"Jung, Y",12,12,3,5,3
"Salehi, M",5,7,5,0,0
"Benete Reis De, S",11,4,6,0,1
"Tang, C",1,3,3,0,0
"Hardiman, A",5,12,1,3,2
"Buller, D",11,7,6,0,1
"Yi, M",9,7,3,1,2
"Dee, E",2,12,6,6,2
"Ambardar, S",0,12,6,3,3
"Oh, N",0,11,5,2,3
"Cueva Chavez, R",14,10,1,0,3
"Cho, M",1,10,1,1,3
"Adohinzin, W",1,12,3,2,3
"Morais Santos, I",0,11,2,4,3
"Liu, Z",13,1,1,0,2
"Liu, Y",14,10,1,2,3
"Niu, M",10,7,1,2,1
"Jung, Y",4,10,4,2,2
"Gholizadeh, N",9,12,6,3,3
"Sun, Z",2,1,1,3,3
"Chen, Z",0,10,1,4,1
"Zhou, K",10,2,2,1,1
"Han, Y",0,3,4,6,1
"Shao, D",10,13,3,0,2
"Bao, Y",8,8,2,3,3
"Kim, S",1,1,5,5,1
"De Souza Godeli, A",13,10,4,4,2
"Molina Gonzalez, C",12,9,3,5,3
"Velentzas, T",0,1,4,5,1
"Okada Da Silva, V",2,9,5,2,3
"Bao, Y",13,6,4,2,0
"Da Cunha Rodrig, F",11,1,1,3,3
"DiIanni, I",6,8,5,5,3
"Marques de Amor, G",13,6,5,5,0
"Albouy, D",12,6,4,0,1
"Buckley, B",5,9,3,3,3
"Martinez Garcia, H",9,5,5,4,1
"Elosegui, P",9,1,6,6,3
"Armendariz Buau, R",8,9,1,1,2
"Arvind, A",10,4,5,5,0
"Borgschulte, M",0,9,1,6,1
"Sun, Y",12,3,3,5,1
"Akresh, R",5,6,3,3,0
"Lee, J",9,4,3,5,0
"Rodrigues Silva, D",14,1,1,3,1
"Shea, J",14,5,4,2,3
"Xie, S",10,4,6,1,2
"Schultz, C",6,10,2,1,2
"Cenerini, F",6,4,3,0,0
"Bhardwaj, S",13,3,4,6,3
"Garin, A",2,12,2,3,1
"Vazquez, J",11,5,1,3,3
"Bilias, I",6,12,4,6,0
"Bera, A",10,4,4,6,3
"Chung, E",14,5,6,4,2
"Mason, T",2,2,5,1,0
"Wilson, A",1,4,4,0,1
"Franks, S",11,11,6,3,1
"Sadler, R",7,4,5,5,0
"Montagner Marti, A",9,13,1,0,3
"Tempel, D",8,7,1,4,2
"Nunes, A",7,2,6,1,3
"Kolar, A",4,9,6,4,1
"Abelson, J",2,12,3,0,3
"Beckman, M",3,8,6,3,3
"Claborn, J",11,5,5,6,3
"Hansen, J",3,8,5,1,0
"Millen, V",0,6,3,4,3
"Morrow, M",3,8,4,6,3
"Baron, I",4,11,5,5,0
"Littlefield, M",1,3,2,2,0
"Stoppino, E",3,12,1,6,0
"Gray, C",0,3,2,3,3
"Stevens, A",13,4,1,6,3
"Newcomb, L",4,1,1,3,1
"Pacheco, H",12,9,6,1,0
"Jones, J",11,12,3,1,3
"Freeburg, C",10,7,4,2,1
"Capino, J",3,5,4,5,2
"Oh, R",8,12,6,2,0
"Guruparan, A",13,11,2,4,3
"Fadely, J",9,12,1,6,2
"Basu, M",12,1,2,5,0
"Cole, L",2,1,2,1,2
"Prendergast, C",5,12,3,5,0
"Trilling, R",0,2,2,2,1
"Nazar, H",2,12,4,4,1
"Green, E",2,9,3,1,2
"Pak, Y",7,11,5,3,2
"Burbules, N",1,6,3,0,3
"Barnett, B",11,10,3,5,1
"Oh, E",13,6,2,3,3
"Kwon, C",14,10,5,2,0
"Best, K",3,2,6,6,1
"Flores, O",5,9,4,5,2
"McCarthy, C",10,5,1,2,1
"Herrera, L",12,2,1,2,2
"Kang, H",6,9,2,0,0
"Nelson, J",11,7,4,4,2
"Bruno, P",12,13,1,1,3
"Li, J",9,1,1,5,1
"Flesher, J",0,11,2,5,1
"Gladstone, J",14,11,1,2,1
"Rounds, J",10,5,1,0,1
"Zarkada, S",8,4,1,1,1
"Rhoades, K",9,7,4,5,2
"Heimpel, N",12,3,1,1,0
"Kinderman, L",0,8,5,4,2
"Zhang, J",6,10,4,6,0
"Kartal, G",8,7,2,3,0
"Xia, Y",8,5,2,2,2
"Anderson, C",8,7,1,5,3
"Taylor, R",13,6,6,5,1
"Lindgren, S",12,6,2,5,1
"Kanter, R",13,8,2,2,1
"Sivapalan, M",7,6,5,4,2
"Cole, T",6,8,2,3,3
"Raveendran Nair, G",12,11,2,1,3
"Green-Miller, A",14,1,4,6,1
"Kuhns, B",4,8,1,3,3
"Issa, S",0,2,2,0,2
"Johnson, T",13,10,1,5,2
"Russell, T",2,9,5,6,3
"Allen, B",13,8,3,5,2
"Taylor, M",1,7,5,1,1
"Benson, E",10,3,1,1,1
"Dyer, M",3,2,1,0,2
"Raskie, S",2,3,6,3,1
"McChristian, L",13,8,4,4,2
"Perkins, S",0,9,1,3,3
"Peters, S",12,10,2,4,1
"Marcinkowski, M",5,2,2,3,0
"Smith, M",9,5,3,4,1
"Fonseca, J",3,2,4,1,1
"Xu, Q",4,7,4,5,3
"Excell, R",14,7,1,0,3
"Hart, J",11,11,1,5,2
"Peterson, P",13,6,4,1,0
"Brobst, C",7,3,1,3,3
"Krueger, G",4,12,5,6,0
"Brown, D",5,7,3,1,1
"Rendak, A",13,3,6,1,2
"Bertram, J",8,4,5,1,3
"Vitek, M",4,3,5,1,1
