CourseCode,ProfessorName,NumberAPlus,NumberA,NumberAMinus,NumberBPlus,NumberB,NumberBMinus,NumberCPlus,NumberC,NumberCMinus,NumberDPlus,NumberD,NumberDMinus,NumberF,NumberW
ACCY304,"Kink, Dawn M",1,10,5,1,8,0,0,0,1,0,0,0,0,0
ACCY304,"Kink, Dawn M",1,6,3,6,5,2,0,2,1,0,0,0,0,0
ACCY304,"Hayne, Christie",2,7,5,3,4,1,1,1,1,1,0,0,0,0
ACCY304,"Kink, Dawn M",0,9,3,3,8,2,0,1,0,0,0,0,0,0
ACCY304,"Hayne, Christie",5,4,4,6,2,1,1,2,1,1,0,0,0,0
ACCY312,"Hutchens, Michelle L",0,6,2,5,5,4,1,0,0,0,0,0,0,0
ACCY312,"Hutchens, Michelle L",0,9,1,3,2,2,4,1,0,0,0,0,0,0
ACCY312,"Holder, Charles B",0,11,0,0,8,0,0,4,0,0,0,0,0,0
ACCY312,"Osswald, Benjamin",4,2,1,4,3,6,2,0,0,0,0,0,0,0
ACCY312,"Osswald, Benjamin",4,5,2,4,3,3,1,0,0,0,0,0,0,0
ACCY398,"Hutchens, Matthew",0,100,0,0,1,0,0,1,0,0,0,0,1,0
ACCY405,"Dahle, Andrew J",4,7,4,2,2,1,3,1,0,0,0,0,1,0
ACCY405,"Dahle, Andrew J",1,6,3,3,5,2,1,3,0,0,0,0,0,0
ACCY405,"Rogowski, Edward J",0,12,8,2,2,1,0,0,0,0,0,0,0,0
ACCY405,"Rogowski, Edward J",0,8,10,3,1,1,0,0,0,0,0,0,0,0
ACCY410,"Kustanovich, Michael",2,5,4,2,2,6,3,0,1,0,1,0,1,0
ACCY410,"Steward, Cynthia G",5,5,6,6,2,2,1,0,2,0,0,0,0,0
ACCY410,"Chen, Ciao-Wei",5,6,2,1,2,2,3,4,0,0,0,0,0,0
ACCY410,"Kustanovich, Michael",3,13,5,1,2,2,1,0,1,0,0,0,0,0
ACCY451,"Alt, Amanda J",11,3,1,2,2,1,2,2,0,1,1,0,0,0
ACCY451,"Holder, Charles B",0,18,0,0,7,0,0,5,0,0,0,0,0,0
ACCY451,"Holder, Daniel E",0,15,0,0,8,0,0,2,0,0,0,0,0,0
ACCY451,"Alt, Amanda J",13,7,1,4,2,2,1,0,0,1,1,0,0,1
ACCY500,"Urcan, Oktay",410,68,33,12,4,2,3,0,0,0,0,0,4,2
ACCY501,"Augusto Sampaio, Gerlando",3,21,14,9,4,6,4,1,1,1,0,0,3,1
ACCY501,"Augusto Sampaio, Gerlando",6,9,14,11,14,5,4,1,1,0,0,0,7,0
ACCY502,"Mendoza, Scott A",16,48,19,15,13,7,9,9,2,0,0,0,1,0
ACCY502,"Mendoza, Scott A",14,43,22,14,19,15,4,2,0,0,2,0,0,0
ACCY503,"Herbold, T J",2,10,6,6,5,1,0,0,0,0,0,0,0,0
ACCY503,"Hecht, Gary W",16,44,44,27,32,4,1,1,0,0,0,0,4,0
ACCY503,"Hecht, Gary W",30,86,21,17,18,3,1,7,1,0,0,0,6,0
ACCY503,"Chen, Xiaoling",262,399,193,131,70,32,15,12,4,2,1,0,14,1
ACCY503,"Zhang, Li",8,17,10,6,4,1,1,0,1,0,0,0,5,0
ACCY506,"Ibrahim, Adel Nematallah",2,11,5,2,2,2,0,0,0,0,0,0,0,0
ACCY506,"Ibrahim, Adel Nematallah",0,7,6,2,7,0,2,0,0,0,0,0,0,0
ACCY507,"Donohoe, Michael P",18,21,17,9,5,1,1,1,0,0,0,0,0,0
ACCY507,"Donohoe, Michael P",25,28,5,6,4,1,1,2,0,0,0,0,0,0
ACCY510,"Persson, Martin E",0,10,5,5,9,2,1,2,0,0,0,0,0,0
ACCY510,"Persson, Martin E",0,9,4,5,15,1,1,1,0,0,0,0,0,0
ACCY510,"Persson, Martin E",0,8,4,11,12,1,0,0,0,0,0,0,0,0
ACCY512,"Wang, Wei",0,25,7,0,2,1,0,0,0,0,0,0,0,0
ACCY512,"Wang, Wei",0,13,6,0,1,0,2,0,2,0,0,0,0,0
ACCY512,"Wang, Wei",0,14,3,2,1,1,0,0,0,0,0,0,0,0
ACCY515,"Lullo, Michael J",1,8,2,7,1,2,1,1,0,0,0,1,0,0
ACCY515,"Lullo, Michael J",0,0,2,10,2,5,0,0,1,0,0,0,1,0
ACCY515,"Lullo, Michael J",0,7,1,11,2,1,1,0,1,0,0,0,0,0
ACCY517,"Li, Yue",5,9,7,1,3,1,0,0,0,0,0,0,0,0
ACCY517,"Hamm, Brian K",0,12,16,1,0,1,0,0,0,0,0,0,0,0
ACCY517,"Li, Yue",5,8,1,4,2,1,0,0,0,0,0,0,0,0
ACCY517,"Hamm, Brian K",0,16,2,3,1,0,0,0,0,0,0,0,0,0
ACCY574,"Leiby, Justin",0,44,1,1,0,0,0,0,1,0,0,0,0,0
ACCY574,"Leiby, Justin",0,42,0,1,0,0,0,1,1,0,0,0,0,0
ACCY574,"Leiby, Justin",1,63,3,1,2,0,1,0,0,0,0,1,0,1
ACCY575,"Park, Ye Joo",12,9,2,0,2,0,0,0,0,0,0,1,0,0
ACCY575,"Park, Ye Joo",17,12,3,1,0,0,0,0,0,0,0,0,0,0
ACCY575,"Zhu, Wei",3,8,7,5,4,2,0,0,0,0,0,0,0,0
ACCY575,"Zhu, Wei",9,14,5,1,1,1,1,0,0,0,0,0,0,0
ACCY575,"Zhu, Wei",4,10,5,7,4,0,0,0,1,0,0,0,0,0
ACCY575,"Penn, Michael W",0,13,10,1,1,1,1,0,0,0,0,0,0,0
ACCY576,"Guymon, Ronald N",34,23,2,3,3,0,1,1,0,0,0,0,3,0
ACCY577,"Lu, Zhenzhong L",6,23,22,3,3,1,0,0,0,0,0,0,0,0
ACE100,"Hadunka, Protensia",7,5,2,4,4,1,3,2,0,0,1,0,0,0
ACE100,"Hadunka, Protensia",5,3,3,2,4,1,3,2,0,1,2,0,0,0
ACE161,"Burnett, Meghan L",0,30,0,0,6,0,0,4,0,0,1,0,1,1
ACE161,"Lo, Alexander C",0,19,0,0,10,0,0,5,0,0,0,0,0,1
ACE161,"Lo, Alexander C",0,18,0,0,7,0,0,1,0,0,0,0,1,0
ACE199,"Lemoine, Craig",13,10,0,0,2,0,0,2,0,0,0,0,0,0
ACE199,"Lo, Alexander C",0,23,0,0,5,0,0,1,0,0,0,0,0,1
ACE199,"Stoddard, Paul B",42,29,1,5,2,3,0,0,1,0,0,0,2,0
ACE210,"Damon, Lisa A",10,19,13,6,9,7,7,9,5,1,2,1,0,0
ACE231,"Stoddard, Paul B",11,29,24,12,13,4,4,4,2,0,2,1,1,0
ACE232,"Elmore, Ailie C",3,8,7,5,8,5,6,1,1,3,0,0,1,0
ACE240,"Lemoine, Craig",596,74,0,0,42,0,0,19,0,0,3,0,17,1
ACE240,"Sanchez, Donovan",19,25,10,9,3,3,0,0,1,0,0,0,1,0
ACE251,"Michelson, Hope C",4,38,29,15,16,8,1,3,2,0,0,0,1,0
ACE255,"Ando, Amy W",68,39,21,8,3,2,0,1,0,0,0,0,0,0
ACE262,"Gundersen, Lisa C",13,13,8,6,9,4,2,7,4,2,2,1,0,0
ACE264,"Hultgren, Andrew B",22,23,17,14,9,8,3,5,3,3,1,0,0,1
ACE270,"Gundersen, Lisa C",20,16,8,6,5,2,0,0,1,0,0,0,0,0
ACE300,"Endres, Renata",12,20,10,8,12,7,5,10,4,4,4,1,1,0
ACE306,"Endres, A B",4,16,9,2,7,5,3,3,0,0,0,0,0,0
ACE310,"Endres, Renata",8,10,7,5,8,8,1,0,1,0,1,0,0,0
ACE335,"Kalaitzandonake, Maria H",0,7,6,3,2,2,0,0,0,0,0,0,1,0
ACE341,"Karplus, Lauren E",17,10,3,1,2,3,0,0,0,0,0,0,1,0
ACE344,"Lemoine, Craig",2,30,0,0,3,0,0,0,0,0,0,0,0,1
ACE345,"Elmore, Ailie C",5,5,6,10,9,11,3,5,2,0,0,0,0,0
ACE349,"Sanchez, Donovan",0,3,12,8,6,3,1,2,0,0,0,0,0,0
ACE360,"Campbell, William D",0,24,2,1,3,0,1,0,0,0,0,0,1,0
ACE360,"Campbell, William D",0,22,0,1,0,0,0,1,0,0,0,0,1,0
ACE403,"Coppess, Jonathan W",3,10,13,2,0,3,0,0,0,0,0,0,0,0
ACE427,"Janzen, Joseph P",0,15,14,11,9,5,1,0,0,0,0,0,0,0
ACE428,"Stoddard, Paul B",4,7,3,8,13,4,6,2,1,0,3,1,1,0
ACE430,"Goldsmith, Peter D",2,6,3,7,9,3,1,8,0,0,2,0,0,0
ACE435,"Schnitkey, Gary D",0,61,7,1,8,0,1,4,0,1,1,0,0,0
ACE440,"Allen, Sharon C",3,38,10,2,5,0,0,0,0,0,0,0,0,0
ACE444,"Sherrick, Bruce J",4,13,9,11,1,4,5,5,6,0,2,0,0,1
ACE446,"Sherrick, Bruce J",5,11,2,2,9,0,3,4,2,2,0,0,0,0
ACE449,"Sanchez, Donovan",3,22,15,12,8,5,1,1,0,0,0,0,1,0
ACE451,"McNamara, Paul E",3,8,2,9,4,1,2,1,1,0,0,0,0,0
ACE474,"Fonseca Travass, Guilherm",2,0,8,1,7,10,3,7,0,0,0,0,0,0
ACE476,"Herrera Almanza, Catalina",0,11,6,9,8,3,4,5,1,1,1,0,0,0
ACES102,"Ball, Anna L",8,34,6,0,2,0,0,0,0,0,0,0,0,0
ADV150,"Faisal, Naufil B",19,8,1,1,1,2,0,0,0,0,0,0,1,0
ADV150,"Arreazola, Catherine J",20,15,0,0,2,0,0,0,0,0,0,0,0,0
ADV150,"Arreazola, Catherine J",10,18,0,2,3,0,1,0,0,0,0,0,0,0
ADV150,"Faisal, Naufil B",19,12,4,1,0,0,0,0,0,0,1,0,0,0
ADV150,"Lee, Yujin",18,11,0,0,0,0,0,2,0,0,0,0,3,0
ADV150,"Bhalla, Sakshi",13,16,0,2,1,0,0,3,1,0,0,0,0,0
ADV150,"Lee, Yujin",20,14,0,0,2,0,0,1,0,0,0,0,0,0
ADV150,"Bhalla, Sakshi",10,20,0,0,0,0,1,1,0,1,0,0,0,0
ADV175,"Chambers, Jason P",0,31,13,21,15,11,2,3,0,0,0,1,0,0
ADV200,"Liu, Jingyu",0,8,7,5,3,0,1,1,0,0,0,0,0,0
ADV270,"Clifton, Dionne J",21,4,10,7,5,1,0,2,1,0,0,0,1,0
ADV281,"Rahman, Nisa P",2,2,4,2,5,1,2,1,0,1,0,2,0,0
ADV281,"Lee, Seo Yoon",6,0,4,1,3,4,4,2,1,3,0,1,0,0
ADV281,"Lee, Seo Yoon",3,1,5,2,3,1,1,3,1,1,0,1,0,0
ADV281,"Rahman, Nisa P",2,2,3,6,2,4,3,2,4,0,1,0,0,0
ADV283,"Meron, Shachar",0,95,14,3,3,3,1,0,0,0,0,1,0,0
ADV284,"Chung, Un Chae",0,15,8,3,2,0,0,0,0,0,0,0,0,0
ADV284,"Paltaratskaya, Veranika",0,17,7,1,1,1,1,0,0,0,0,0,0,0
ADV284,"Chung, Un Chae",0,16,7,2,1,1,0,0,1,0,0,0,0,0
ADV284,"Paltaratskaya, Veranika",0,14,0,6,5,1,0,1,0,0,0,0,0,0
ADV290,"Muirhead, Susan P",0,34,17,13,23,4,4,2,0,0,0,0,0,0
ADV301,"Wilson, Carrie A",15,23,2,1,4,1,0,3,0,1,0,0,2,0
ADV305,"Fisher, Jacob T",7,21,6,6,2,0,0,0,0,0,0,0,0,0
ADV310,"Hitchon, Jacqueline C",11,26,17,7,23,2,5,1,0,0,0,0,0,0
ADV314,"Raquel, Steve A",0,11,8,1,6,1,1,6,0,0,0,0,1,1
ADV320,"Clifton, Dionne J",46,25,9,7,2,3,5,1,1,0,0,1,3,1
ADV350,"Vance, Allison C",4,11,2,1,1,0,1,0,2,1,0,0,0,0
ADV370,"Clifton, Dionne J",50,16,8,8,5,5,4,3,0,2,2,1,10,1
ADV390,"Sheldon, Peter S",0,30,11,15,10,19,4,3,0,0,0,1,0,0
ADV393,"Wang, Yanyun",22,33,4,1,1,1,1,0,0,0,1,0,0,0
ADV409,"Kasdan, Terry P",15,8,1,4,1,1,0,0,0,0,0,0,0,0
ADV410,"Peacock, Marisa C",11,14,3,3,2,1,0,0,0,0,0,0,0,0
ADV460,"Lee, Dongchan",0,8,9,0,3,0,2,1,1,0,1,0,0,0
ADV460,"Lee, Dongchan",0,11,7,5,4,1,1,0,0,0,0,0,1,0
ADV460,"Kim, Woo Jin",0,10,12,3,3,0,1,0,0,0,0,0,0,0
ADV461,"Maslowska, Ewa H",3,5,9,1,2,0,0,1,0,0,0,0,0,0
ADV483,"Wise, Kevin R",1,3,3,3,8,6,5,4,0,1,0,0,1,0
ADV483,"Wise, Kevin R",1,1,7,10,7,3,3,2,1,2,0,0,0,0
ADV483,"Wise, Kevin R",1,7,6,8,10,0,2,2,1,0,0,0,1,0
ADV490,"Muirhead, Susan P",15,3,1,0,1,0,0,1,0,0,0,0,1,0
AE140,"Laystrom-Woodar, Julia K",1,30,6,2,2,4,1,2,0,0,1,0,0,0
AE140,"Laystrom-Woodar, Julia K",5,30,4,3,2,2,1,1,1,0,0,0,1,0
AE202,"Wroblewski, Gabrielle E",90,34,4,3,4,1,0,1,0,0,0,0,0,1
AE311,"Saxton-Fox, Theresa A",3,7,4,2,3,2,0,1,0,0,2,0,2,0
AE312,"Panerai, Francesco",3,20,10,14,22,14,9,6,5,3,3,2,3,0
AE321,"Khanbolouki, Pouria",2,9,2,5,3,6,2,3,3,3,1,1,4,0
AE323,"Lambros, John",1,14,2,3,28,5,3,21,8,4,7,0,8,0
AE352,"Langbort, Cedric",6,7,8,7,7,3,7,3,6,0,1,1,0,0
AE353,"Bretl, Timothy W",0,47,33,19,12,4,2,2,0,0,1,0,1,0
AE370,"Goza, Andres J",4,67,29,13,8,2,0,0,4,3,0,2,2,0
AE419,"Wroblewski, Gabrielle E",20,27,2,2,2,0,1,0,0,0,0,0,0,0
AE434,"Levin Fliflet, Deborah",0,3,1,15,3,3,0,2,2,0,0,0,0,1
AE435,"Rovey, Joshua L",0,5,4,2,7,5,1,4,3,0,5,0,0,1
AE443,"Merret, Jason M",0,12,17,8,6,0,0,0,0,0,0,0,0,0
AE443,"Lembeck, Michael F",0,23,24,15,24,1,0,0,0,0,0,0,0,0
AE461,"Chasiotis, Ioannis",1,31,41,23,18,6,2,2,0,0,0,0,0,0
AE498,"Lembeck, Michael F",0,24,10,7,8,1,0,0,0,0,0,0,0,0
AE502,"Eggl, Siegfried",15,2,2,3,1,1,0,0,2,0,0,1,0,0
AE504,"Ornik, Melkior",2,8,4,2,6,1,1,4,1,0,0,0,0,1
AE515,"Ansell, Phillip J",2,12,3,0,2,2,2,0,0,0,0,0,0,1
AFRO100,"Bailey, Ronald W",14,7,2,3,1,3,0,2,3,2,2,0,4,0
AFRO101,"Lawton, Bishop W",0,4,3,2,4,2,0,3,0,0,0,0,4,0
AFRO132,"Meyers, John P",2,30,22,18,14,12,7,1,1,0,1,0,2,0
AFRO228,"Meyers, John P",0,20,3,1,1,1,1,0,0,0,0,0,0,0
AFRO378,"O'Byrn, Edward E",3,16,4,2,0,1,0,0,1,0,1,0,1,0
AGCM220,"Roberts, Owen A",14,9,5,2,0,0,0,0,0,2,0,1,0,0
AGCM420,"Roberts, Owen A",0,6,11,4,1,0,0,0,0,0,0,0,0,0
AIS285,"Maldonado, Korinta",12,6,1,1,0,1,0,0,1,3,0,0,0,0
AIS285,"Pyle, Kai",6,13,0,1,3,0,0,0,0,0,1,0,0,0
ALEC490,"Rosch, David M",14,12,4,0,0,0,1,0,1,0,0,0,0,0
ALEC491,"Rosch, David M",13,5,1,0,1,0,0,0,0,0,0,0,1,0
ALEC492,"Rosch, David M",9,7,4,0,1,0,0,0,0,0,0,0,1,0
ANSC100,"Harsh, Bailey N",0,20,2,0,6,0,0,3,0,0,0,0,0,0
ANSC101,"Dilger, Anna C",2,138,0,0,28,0,0,0,0,0,1,0,0,0
ANSC205,"Parsons, Carl M",46,7,1,2,3,5,5,0,0,1,0,0,0,0
ANSC207,"Fischer-Brown, Amy E",24,112,53,16,38,14,19,13,6,7,5,5,9,1
ANSC210,"Harsh, Bailey N",0,81,0,0,2,0,0,0,0,0,0,0,0,0
ANSC223,"Dilger, Ryan N",1,100,0,23,39,0,4,9,0,1,2,0,0,0
ANSC224,"Miller, David J",17,17,23,18,12,21,13,22,12,1,5,4,2,1
ANSC250,"Richardson, Sarah D",10,27,9,5,2,1,1,1,1,0,0,0,1,0
ANSC250,"Richardson, Sarah D",85,134,26,13,9,1,2,8,2,1,2,0,4,0
ANSC255,"Shike, Daniel W",8,30,0,5,3,0,2,1,0,0,0,0,0,0
ANSC256,"Hagstrom, Debra",0,5,1,2,7,0,0,3,0,1,0,0,8,1
ANSC298,"Jones-Hamlow, Katelyn A",0,63,0,0,10,0,0,3,0,0,1,0,4,0
ANSC305,"Richardson, Sarah D",24,28,1,2,2,1,1,3,0,1,1,0,1,0
ANSC363,"Kukekova, Anna V",11,21,8,0,5,0,2,2,1,0,1,0,0,0
ANSC406,"Roca, Alfred L",25,27,3,7,11,8,10,13,0,0,4,0,3,0
ANSC407,"Fischer-Brown, Amy E",11,10,8,4,1,5,1,5,1,1,3,3,0,0
ANSC409,"Harsh, Bailey N",0,19,0,0,3,0,0,1,0,0,0,0,0,0
ANSC438,"Drackley, James K",1,9,3,1,9,0,0,0,0,0,0,0,0,0
ANSC446,"Roca, Alfred L",6,8,2,1,3,0,0,1,0,0,0,0,0,0
ANSC450,"Steelman, Andrew J",0,12,0,0,21,0,0,5,0,0,4,0,6,0
ANSC464,"Antonson, Adrienne M",11,7,8,1,4,1,0,0,0,0,0,0,0,0
ANSC498,"Schneider, Alicia M",26,19,9,1,6,6,0,3,1,0,0,0,0,0
ANSC499,"Fischer-Brown, Amy E",7,9,3,4,4,1,0,1,3,0,1,0,0,0
ANSC526,"Cattai de Godoy, Maria Re",0,12,0,4,8,0,0,1,0,0,0,0,0,0
ANTH101,"Rusen, Rachel M",13,6,2,1,2,3,0,1,0,0,0,0,1,1
ANTH101,"Rusen, Rachel M",9,7,6,4,1,1,1,0,0,2,0,0,0,0
ANTH101,"Naidoo, Navashni",16,4,3,2,1,2,0,2,0,0,0,0,0,0
ANTH101,"Naidoo, Navashni",22,5,2,0,0,0,0,0,1,0,0,0,1,0
ANTH101,"Naidoo, Navashni",19,7,3,1,0,1,0,0,0,0,0,0,1,0
ANTH101,"Taylor, Rachel M",16,5,5,2,0,0,0,0,0,1,0,0,1,0
ANTH101,"Taylor, Rachel M",13,6,5,1,1,2,0,0,0,0,1,1,1,0
ANTH101,"Reich, Arielle Y",12,4,3,1,1,2,2,0,0,0,0,2,1,0
ANTH101,"Reich, Arielle Y",12,4,8,0,2,3,0,0,2,0,1,0,1,0
ANTH101,"Reich, Arielle Y",14,3,3,0,0,3,1,1,1,0,1,1,2,0
ANTH103,"Erten, Hatice",230,176,76,20,27,18,7,8,7,4,3,1,5,0
ANTH105,"Bishop, Katelyn J",7,9,2,4,6,2,1,1,0,1,2,1,0,0
ANTH209,"Silverman, Helaine I",30,30,7,3,12,3,2,1,2,0,1,0,3,0
ANTH221,"Riggs, Erin P",5,4,3,1,6,2,0,3,1,0,0,0,1,0
ANTH246,"Jelinek, Petra",114,321,33,28,39,12,3,9,9,1,8,1,15,1
ANTH246,"Hughes, Cris E",157,342,18,18,18,6,5,2,1,1,5,1,4,1
ANTH268,"Dominguez, Virginia R",0,4,11,6,3,3,1,0,0,0,1,1,1,0
ANTH278,"Lucero, Lisa J",20,4,3,3,2,0,0,0,0,1,0,0,1,0
ANTH288,"Kastengren, Stetson M",0,18,13,2,1,0,0,0,0,0,1,0,0,0
ANTH350,"Greenberg, Jessica R",0,15,4,4,3,1,0,0,0,0,0,1,0,0
ANTH462,"Frankenberg, Susan R",13,15,0,0,1,1,2,1,1,0,0,0,0,0
ARCH172,"Clark, John S",26,59,33,21,5,3,2,5,0,0,0,0,0,0
ARCH232,"Uihlein, Marci",12,11,10,14,8,6,9,7,2,1,1,4,4,1
ARCH274,"Melgarejo De Be, Andrea L",7,16,9,13,7,12,4,6,2,3,0,1,3,0
ARCH403,"Leslie, Thomas W",7,12,2,5,0,0,0,0,0,0,0,0,0,0
ARCH409,"Lapunzina, Alejandro",1,7,9,7,2,1,0,0,0,0,0,0,0,0
ARCH416,"Johnson, Tait R",1,2,5,2,5,5,1,1,0,0,0,3,0,0
ARCH435,"Inserra, Dana M",1,18,17,10,12,13,5,2,4,2,3,1,0,0
ARCH468,"Lapunzina, Alejandro",0,3,4,7,5,4,4,1,0,0,0,0,0,0
ARCH517,"Bross, Benjamin A",10,12,14,8,10,9,1,2,0,0,0,0,0,0
ARCH537,"Boubekri, Mohamed",5,29,16,12,6,1,1,1,0,0,0,0,0,0
ARCH593,"Deutsch, Randall",22,14,4,2,0,1,0,0,0,0,0,0,0,0
ARCH595,"Aminmansour, Abbas",13,3,8,4,3,2,4,5,1,0,1,0,2,0
ARCH595,"Pawlikowski, James J",3,4,9,4,4,1,0,0,0,0,0,0,0,0
ARTD218,"Salamanca Garci, Juan M",11,11,2,0,1,0,0,0,0,0,0,0,0,0
ARTD218,"Wehmeier, Colter E",4,8,2,3,5,0,0,1,0,0,0,0,2,0
ARTD302,"Sethi, Suresh",5,8,4,4,0,0,0,0,0,0,0,0,0,0
ARTD326,"Raheel, Salman",1,16,0,0,0,2,0,1,0,0,0,0,3,0
ARTD326,"Araujo de Aguia, Carlos H",3,9,6,0,4,1,0,0,0,1,1,2,0,0
ARTD426,"Sethi, Simrun S",3,11,3,1,2,1,1,0,0,0,0,0,0,0
ARTE101,"Lucero, Jorge",73,22,16,7,3,3,10,5,0,1,1,2,3,0
ARTH211,"Weissman, Terri",7,77,31,16,11,1,3,0,1,0,0,0,0,1
ARTH242,"Romberg, Kristin",0,7,10,8,5,2,2,1,0,0,0,0,0,0
ARTJ209,"Stirek, Lindsey L",2,20,7,5,3,3,2,0,2,0,2,0,1,0
ARTJ299,"Stirek, Lindsey L",9,10,1,1,1,1,1,0,1,1,0,0,1,0
ARTJ299,"Sinzato, Alice Yumi",10,10,4,1,2,2,0,1,1,0,1,0,1,0
ARTJ302,"Stirek, Lindsey L",15,14,5,1,0,1,1,0,1,0,1,0,0,0
ARTJ397,"Francis, Omar L",1,14,7,1,1,4,0,1,0,0,0,0,1,0
ARTJ398,"Palmieri, Christopher J",3,8,1,2,3,0,0,1,1,0,0,0,3,0
ARTS220,"Becker, Susan E",18,6,1,0,1,1,0,0,1,0,0,0,1,1
ARTS351,"Pokorny, Melissa",5,5,1,2,3,1,0,1,1,0,1,1,0,0
ARTS392,"Hogin, Lauretta J",4,4,0,2,3,2,0,4,1,0,2,0,0,0
ASRM210,"Icaza, Eric S",10,7,14,9,6,4,1,0,0,0,0,0,2,0
ASRM406,"Icaza, Eric S",2,2,2,4,5,7,2,1,0,0,0,0,1,0
ASRM409,"Liu, Peixin",4,14,10,12,5,2,1,0,0,0,0,0,0,0
ASRM461,"Wei, Wei",2,2,6,0,4,1,2,0,2,3,2,6,0,1
ASRM472,"Cardinal, Timothy C",11,7,0,2,0,1,0,0,0,0,0,0,0,0
ASTR100,"Winans, Amanda",35,41,19,18,23,9,4,7,4,3,4,0,5,0
ASTR100,"Winans, Amanda",41,85,30,27,27,17,6,15,13,8,9,5,34,1
ASTR121,"Winans, Amanda",31,26,14,11,9,11,5,9,2,2,2,1,1,2
ASTR122,"Dunne, Bryan C",25,29,25,14,18,9,6,8,3,0,1,0,2,0
ASTR210,"Kemball, Athol J",19,26,0,3,15,1,0,10,0,0,1,3,3,0
ASTR310,"Ricker, Paul M",0,23,6,1,3,0,3,0,0,0,3,0,2,0
ASTR330,"Dunne, Bryan C",17,94,60,30,14,13,3,3,1,2,3,0,1,0
ASTR405,"Gammie, Charles F",2,14,9,15,7,4,4,2,4,1,1,0,6,0
ASTR414,"Shen, Yue",9,14,1,2,5,1,0,3,1,0,1,0,1,0
ATMS100,"Frame, Jeffrey",4,20,5,7,17,3,7,8,1,1,4,0,2,0
ATMS120,"Choate, Jessica J",36,85,39,43,30,21,16,14,9,7,5,3,8,1
ATMS140,"Hence, Deanna",2,18,4,1,0,3,1,0,1,0,0,0,1,0
